Subject,Start Date,Start Time,End Date,End Time
Research,04/27/2019,10:30,04/27/2019,13:30
Research,04/28/2019,10:30,04/28/2019,13:30
Research,04/30/2019,14:30,04/30/2019,17:00
Research,05/01/2019,10:30,05/01/2019,12:30
Research,05/01/2019,15:15,05/01/2019,18:30
Research,05/02/2019,10:30,05/02/2019,12:45
Research,05/02/2019,14:30,05/02/2019,18:30
Edge Computing Course,04/29/2019,16:00,04/29/2019,18:15
Edge Computing Course,04/30/2019,10:30,04/30/2019,12:45
Edge Computing Course,05/01/2019,12:45,05/01/2019,15:00
Edge Computing Course,05/03/2019,10:30,05/03/2019,13:45
CS524 - Lecture 1,04/30/2019,13:00,04/30/2019,14:15
CS524 - Lecture 2,05/02/2019,13:00,05/02/2019,14:15
Paper Reading For DB Reading Group,04/29/2019,11:45,04/29/2019,15:45
DB Reading Group,04/30/2019,17:00,04/30/2019,18:00
Edge Computing - Read PyWren,05/03/2019,14:00,05/03/2019,16:00
Edge Computing - Read Google Scheduling,04/29/2019,10:30,04/29/2019,11:30
